contrato_id,titulo,contenido,longitud
contrato_01,CLÁUSULAS,CLÁUSULAS,9
contrato_01,Primera.,Primera. Regulación El presente contrato se regulará por lo aquí pactado y en su defecto por lo establecido por la Ley de Arrendamientos Urbanos.,145
contrato_01,Segunda.,"Segunda. Objeto y entrega de la posesión. El contenido del contrato es el alquiler de un inmueble con destino a vivienda permanente para 2 personas. El arrendador, hace entrega con la firma de este contrato de las llaves de la vivienda alquilada y de su posesión. También entrega en cumplimiento de la normativa vigente el certificado energético de la vivienda. El arrendatario la recibe con pleno conocimiento de las condiciones en las que se encuentra y se somete al régimen de propiedad horizontal en el que se encuentra el inmueble. Asimismo el arrendatario se compromete a: - Utilizar la vivienda con la debida diligencia y destinarla al que está destinada. - Conservarla en las condiciones en las que le fue entregada, sin que sufra mayores deterioros que el propio de su utilización ordinaria y el deterioro producido por el paso del tiempo o por causa inevitable. - No realizar actividades de tipo industrial o actividades molestas, insalubres, nocivas o peligrosas.",974
contrato_01,Tercera.,"Tercera. Plazo de duración. El plazo de duración del presente contrato de arrendamiento es 12, a contar desde la fecha del otorgamiento de este contrato. El arrendamiento se prorrogará de manera automática por períodos de 12 hasta un plazo de 5 años, salvo que el arrendatario comunique por escrito al arrendador su intención de no renovarlo con treinta días de antelación al cumplimiento del plazo pactado o de cualquiera de sus prórrogas anuales.",448
contrato_01,Cuarta.,"Cuarta. Prórroga tácita Una vez transcurridos como mínimo cinco años de duración del contrato, si el arrendatario no ha notificado al arrendador su intención de no renovarlo con un plazo de 2 meses de antelación, ni el arrendador al arrendatario con un plazo de 4 meses, el contrato se prorrogará obligatoriamente por plazos anuales hasta un máximo de tres años más, salvo que el arrendatario manifieste al arrendador con un mes de antelación a la fecha de terminación de cualquiera de las anualidades, su voluntad de no renovar el contrato.",541
contrato_01,Quinta.,"Quinta. Renta Se fija como renta mensual la cantidad de 180.46 euros. Se pagará mensualmente por meses anticipados, dentro de los siete primeros días de cada mes, mediante ingreso en metálico o transferencia bancaria a favor del Arrendador en la cuenta que a nombre de este último y con el nº ES48 1234567890 existe en el Banco Unicaja, sucursal nº 2 . El pago se acreditará de manera suficiente mediante el oportuno resguardo del ingreso o transferencia realizados o, si se paga en metálico, mediante el correspondiente recibo expedido por el arrendador.",555
contrato_01,Sexta.,Sexta. Actualización de la renta. La renta solo podrá ser actualizada en la fecha en que se cumpla cada año de vigencia del contrato. Se actualizará para cada anualidad por referencia a la variación anual del Índice de Garantía de Competitividad a fecha de cada actualizacion. El incremento producido no podrá exceder del IPC... La renta actualizada será exigible a partir del mes siguiente a su notificación por escrito.,421
contrato_01,Septima.,"Septima. Gastos y servicios El precio del arrendamiento incluye los gastos generales del inmueble, servicios, tributos, cargas que consistan en comunidad y tasas de basuras, así como las demás responsabilidades no susceptibles de individualización.",248
contrato_01,Octava.,"Octava. Fianza En el momento de la firma de este contrato, el arrendatario hace entrega al arrendador del importe de una mensualidad de renta, 180.46 euros, en concepto de fianza legal. La fianza legal queda establecida en garantía de las obligaciones legales y contractuales del arrendatario. En ningún caso su importe podrá imputarse al pago de la renta. La devolución se hará al finalizar el contrato.",404
contrato_01,Novena.,"Novena. Conservación de la vivienda El arrendador se compromete a realizar las reparaciones necesarias para conservar la vivienda en condiciones de habitabilidad, sin derecho a elevar por ello la renta, salvo que aquellas sean consecuencia directa del arrendatario. Transcurrido los cinco primeros años, el arrendador podrá realizar obras de mejora con derecho a elevar la renta según la LAU.",392
contrato_01,Décima.,Décima. Obras del arrendatario El arrendatario no podrá realizar obras que modifiquen la configuración de la vivienda sin permiso por escrito. Las obras autorizadas quedarán en beneficio de la propiedad al término del contrato.,227
contrato_01,Undécima.,"Undécima. Cesión y subarriendo El contrato no se podrá ceder o subarrendar por el arrendatario sin el consentimiento escrito del arrendador. En el caso de tener dicho consentimiento se regulará por lo pactado entre las partes.En todo caso, se extinguirá cuando lo haga el del arrendatario y el precio no podrá exceder del establecido para el arrendamiento.",356
contrato_01,Duodécima.,"Duodécima. Resolución del contrato El incumplimiento de cualquiera de las cláusulas de este contrato y, en su defecto, de la normativa que resulte de aplicación, será causa de resolución del contrato para cualquiera de las partes.",230
contrato_01,Décimo cuarta.,Décimo cuarta. Resolución de conflictos. Para la resolución de cualquier conflicto derivado de la interpretación del presente las partes se someten a la jurisdicción ordinaria. Cláusulas adicionales,198
contrato_01,Primera.,"Primera. Regulación El presente contrato se regulará por lo aquí pactado y en su defecto por lo establecido por la Ley de Arrendamientos Urbanos. Segunda. Objeto y entrega de la posesión. El contenido del contrato es el alquiler de un inmueble con destino a vivienda permanente para sadf personas. El arrendador, hace entrega con la firma de este contrato de las llaves de la vivienda alquilada y de su posesión. También entrega en cumplimiento de la normativa vigente el certificado energético de la vivienda. El arrendatario la recibe con pleno conocimiento de las condiciones en las que se encuentra y se somete al régimen de propiedad horizontal en el que se encuentra el inmueble. Asimismo el arrendatario se compromete a: - Utilizar la vivienda con la debida diligencia y destinarla al que está destinada. - Conservarla en las condiciones en las que le fue entregada, sin que sufra mayores deterioros que el propio de su utilización ordinaria y el deterioro producido por el paso del tiempo o por causa inevitable. - No realizar actividades de tipo industrial o actividades molestas, insalubres, nocivas o peligrosas. Tercera. Plazo de duración. El plazo de duración del presente contrato de arrendamiento es asdf, a contar desde la fecha del otorgamiento de este contrato. El arrendamiento se prorrogará de manera automática por períodos de asdf hasta un plazo de 5 años, salvo que el arrendatario comunique por escrito al arrendador su intención de no renovarlo con treinta días de antelación al Página 1 cumplimiento del plazo pactado o de cualquiera de sus prórrogas anuales. Cuarta. Prórroga tácita Una vez transcurridos como mínimo cinco años de duración del contrato, si el arrendatario no ha notificado al arrendador su intención de no renovarlo con un plazo de 2 meses de antelación, ni el arrendador al arrendatario con un plazo de 4 meses, el contrato se prorrogará obligatoriamente por plazos anuales hasta un máximo de tres años más, salvo que el arrendatario manifieste al arrendador con un mes de antelación a la fecha de terminación de cualquiera de las anualidades, su voluntad de no renovar el contrato. Quinta. Renta Se fija como renta mensual la cantidad de 0.02 euros. Se pagará mensualmente por meses anticipados, dentro de los siete primeros días de cada mes, mediante ingreso en metálico o transferencia bancaria a favor del Arrendador en la cuenta que a nombre de este último y con el nº angel existe en el Banco angel, sucursal nº angel . El pago se acreditará de manera suficiente mediante el oportuno resguardo del ingreso o transferencia realizados o, si se paga en metálico, mediante el correspondiente recibo expedido por el arrendador. Sexta. Actualización de la renta. La renta solo podrá ser actualizada en la fecha en que se cumpla cada año de vigencia del contrato. Se actualizará para cada anualidad por referencia a la variación anual del Índice de Garantía de Competitividad a fecha de cada actualizacion. El incremento producido no podrá exceder del IPC... La renta actualizada será exigible a partir del mes siguiente a su notificación por escrito. Septima. Gastos y servicios El precio del arrendamiento incluye los gastos generales del inmueble, servicios, tributos, cargas que consistan en comunidad y tasas de basuras, así como las demás responsabilidades no susceptibles de individualización. Octava. Fianza En el momento de la firma de este contrato, el arrendatario hace entrega al arrendador del importe de una mensualidad de renta, 0.02 euros, en concepto de fianza legal. La fianza legal queda establecida en garantía de las obligaciones legales y contractuales del arrendatario. En ningún caso su importe podrá imputarse al pago de la renta. La devolución se hará al finalizar el contrato. Novena. Conservación de la vivienda El arrendador se compromete a realizar las reparaciones necesarias para conservar la vivienda en condiciones de habitabilidad, sin derecho a elevar por ello la renta, salvo que aquellas sean consecuencia directa del arrendatario. Transcurrido los cinco primeros años, el arrendador podrá realizar obras de mejora con derecho a elevar la renta según la LAU.",4140
